--- Terminal on COM5 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
␀␀V
5 seconds
4 seconds
3 seconds
2 seconds
1 seconds
# AEAD Benchmarking
platform = dueUSB
config = O3
build time = Dec 23 2023 - 21:41:13
variant = tinyjambu128v2
impl = opt
timer = micros

ad=88 msg=24 enc=253 dec=254 
ad=88 msg=32 enc=267 dec=268 
ad=88 msg=40 enc=282 dec=282 
ad=88 msg=48 enc=297 dec=297 
ad=88 msg=56 enc=311 dec=310 
ad=88 msg=64 enc=326 dec=325 
ad=88 msg=72 enc=339 dec=339 
ad=88 msg=80 enc=354 dec=354 
ad=88 msg=88 enc=368 dec=369 
ad=88 msg=96 enc=383 dec=383 
ad=88 msg=104 enc=397 dec=397 
ad=88 msg=112 enc=412 dec=412 
ad=88 msg=120 enc=426 dec=426 
ad=88 msg=128 enc=442 dec=439 
ad=96 msg=0 enc=224 dec=223 
ad=96 msg=8 enc=238 dec=238 
ad=96 msg=16 enc=253 dec=254 
ad=96 msg=24 enc=268 dec=267 
ad=96 msg=32 enc=282 dec=281 
ad=96 msg=40 enc=296 dec=296 
ad=96 msg=48 enc=310 dec=310 
ad=96 msg=56 enc=326 dec=325 
ad=96 msg=64 enc=340 dec=339 
ad=96 msg=72 enc=353 dec=354 
ad=96 msg=80 enc=368 dec=368 
ad=96 msg=88 enc=383 dec=383 
ad=96 msg=96 enc=398 dec=396 
ad=96 msg=104 enc=411 dec=411 
ad=96 msg=112 enc=425 dec=426 
ad=96 msg=120 enc=442 dec=439 
ad=96 msg=128 enc=455 dec=453 
ad=104 msg=0 enc=238 dec=238 
ad=104 msg=8 enc=252 dec=253 
ad=104 msg=16 enc=267 dec=267 
ad=104 msg=24 enc=281 dec=281 
ad=104 msg=32 enc=296 dec=296 
ad=104 msg=40 enc=311 dec=310 
ad=104 msg=48 enc=325 dec=324 
ad=104 msg=56 enc=339 dec=339 
ad=104 msg=64 enc=353 dec=354 
ad=104 msg=72 enc=368 dec=368 
ad=104 msg=80 enc=382 dec=382 
ad=104 msg=88 enc=397 dec=397 
ad=104 msg=96 enc=411 dec=411 
ad=104 msg=104 enc=427 dec=425 
ad=104 msg=112 enc=440 dec=440 
